title,authors,isbn13
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,9780439785969
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,9780439358071
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,9780439554893
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,9780439655484
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,9780439682589
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,9780976540601
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,9780439827607
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,9780517226957
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,9780345453747
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,9781400052929
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,9780517149256
A Short History of Nearly Everything,Bill Bryson,9780767908184
Bill Bryson's African Diary,Bill Bryson,9780767915069
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,9780767910439
In a Sunburned Country,Bill Bryson,9780767903868
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,9780767903820
The Lost Continent: Travels in Small Town America,Bill Bryson,9780060920081
Neither Here nor There: Travels in Europe,Bill Bryson,9780380713806
Notes from a Small Island,Bill Bryson,9780380727506
The Mother Tongue: English and How It Got That Way,Bill Bryson,9780380715435
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,9780345538376
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,9780618517657
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,9780618346257
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,9780618391004
The Lord of the Rings: Complete Visual Companion,Jude Fisher,9780618510825
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,9780976694007
Hatchet (Brian's Saga  #1),Gary Paulsen,9780689840920
